emage_id,assay_type,probe_id,name,strain,type,theilerstage,dpc
1194,in situ,MGI:2664164,emage,CD1,wholemount,15,9.5 dpc
1195,in situ,MGI:2663203,emage,CD1,wholemount,17,10.5 dpc
1196,in situ,MGI:2663203,emage,CD1,wholemount,15,9.5 dpc
1197,in situ,MGI:2664164,emage,CD1,wholemount,18,10.5 dpc
1198,in situ,MGI:2663952,emage,CD1,wholemount,16,9.5 dpc
1199,in situ,MGI:2663117,emage,CD1,wholemount,15,9.5 dpc
1200,in situ,MGI:2663110,emage,CD1,wholemount,17,10.5 dpc
1201,in situ,MGI:2663110,emage,CD1,wholemount,15,9.5 dpc
1202,in situ,MGI:580408,emage,CD1,wholemount,17,10.5 dpc
1203,in situ,MGI:580408,emage,CD1,wholemount,16,9.5 dpc
1204,in situ,MGI:2663074,emage,CD1,wholemount,18,10.5 dpc
1205,in situ,MGI:2663116,emage,CD1,wholemount,18,10.5 dpc
1206,in situ,MGI:2663116,emage,CD1,wholemount,15,9.5 dpc
1207,in situ,MGI:2664148,emage,CD1,wholemount,18,10.5 dpc
1208,in situ,MGI:2664148,emage,CD1,wholemount,14,9.5 dpc
1209,in situ,MGI:2663104,emage,CD1,wholemount,18,10.5 dpc
1210,in situ,MGI:2663104,emage,CD1,wholemount,15,9.5 dpc
1211,in situ,MGI:2664170,emage,CD1,wholemount,18,10.5 dpc
1212,in situ,MGI:2664170,emage,CD1,wholemount,15,9.5 dpc
1213,in situ,MGI:2663219,emage,CD1,wholemount,14,9.5 dpc
1214,in situ,MGI:2663219,emage,CD1,wholemount,17,10.5 dpc
1215,in situ,MGI:2663865,emage,CD1,wholemount,17,10.5 dpc
1216,in situ,MGI:2663865,emage,CD1,wholemount,15,9.5 dpc
1217,in situ,MGI:2663885,emage,CD1,wholemount,18,10.5 dpc
1218,in situ,MGI:2663885,emage,CD1,wholemount,14,9.5 dpc
1219,in situ,MGI:2663722,emage,CD1,wholemount,17,10.5 dpc
1220,in situ,MGI:2663722,emage,CD1,wholemount,15,9.5 dpc
1221,in situ,MGI:659827,emage,CD1,wholemount,17,10.5 dpc
1222,in situ,MGI:2663747,emage,CD1,wholemount,18,10.5 dpc
1223,in situ,MGI:2663747,emage,CD1,wholemount,15,9.5 dpc
1224,in situ,MGI:272688,emage,CD1,wholemount,17,10.5 dpc
1225,in situ,MGI:272688,emage,CD1,wholemount,15,9.5 dpc
1226,in situ,MGI:659792,emage,CD1,wholemount,14,9.5 dpc
1227,in situ,MGI:659792,emage,CD1,wholemount,18,10.5 dpc
1228,in situ,MGI:373803,emage,CD1,wholemount,14,9.5 dpc
1229,in situ,MGI:373803,emage,CD1,wholemount,18,10.5 dpc
1230,in situ,MGI:2663800,emage,CD1,wholemount,17,10.5 dpc
1231,in situ,MGI:2663800,emage,CD1,wholemount,15,9.5 dpc
1232,in situ,MGI:2663867,emage,CD1,wholemount,16,9.5 dpc
1233,in situ,MGI:2663867,emage,CD1,wholemount,17,10.5 dpc
1234,in situ,MGI:903454,emage,CD1,wholemount,15,9.5 dpc
1235,in situ,MGI:903454,emage,CD1,wholemount,18,10.5 dpc
1282,immunohistochemistry,MGI:1309322,emage,(C57BL/6 x DBA/2)F1,section,16,10.5 dpc
1285,in situ,MGI:3505906,emage,C57BL,wholemount,18,10.5 dpc
1286,in situ,MGI:3505906,emage,C57BL,wholemount,17,10.5 dpc
1287,in situ,MGI:3505907,emage,C57BL,wholemount,16,10.5 dpc
1288,in situ,MGI:3505907,emage,C57BL,wholemount,17,10.5 dpc
1289,in situ,MGI:3505908,emage,C57BL,wholemount,17,10.5 dpc
