Parent Term	Parent Term Accession	Start Stage of Parent Term	End Stage of Parent Term	Child Term	Child term Accession	End Stage of Child Term	Start Stage of Child Term
mesenchymal layer of dorsal pelvic urethra of male	EMAPA:31552	TS23	TS28	lamina propria of dorsal pelvic urethra of male	EMAPA:32311	TS28	TS25
mesenchymal layer of pelvic urethra	EMAPA:30907	TS22	TS22	mesenchymal layer of dorsal pelvic urethra	EMAPA:31575	TS22	TS22
mesenchymal layer of pelvic urethra	EMAPA:30907	TS22	TS22	mesenchymal layer of ventral pelvic urethra	EMAPA:31574	TS22	TS22
mesenchymal layer of pelvic urethra of female	EMAPA:28765	TS23	TS28	mesenchymal layer of dorsal pelvic urethra of female	EMAPA:31554	TS28	TS23
mesenchymal layer of pelvic urethra of female	EMAPA:28765	TS23	TS28	mesenchymal layer of ventral pelvic urethra of female	EMAPA:31553	TS28	TS23
mesenchymal layer of pelvic urethra of female	EMAPA:28765	TS23	TS28	mesenchymal pad of pelvic urethra of female	EMAPA:32287	TS27	TS25
mesenchymal layer of pelvic urethra of male	EMAPA:28703	TS23	TS28	mesenchymal pad of pelvic urethra of male	EMAPA:32280	TS27	TS25
mesenchymal layer of pelvic urethra of male	EMAPA:28703	TS23	TS28	mesenchymal layer of ventral pelvic urethra of male	EMAPA:31550	TS28	TS23
mesenchymal layer of pelvic urethra of male	EMAPA:28703	TS23	TS28	mesenchymal layer of dorsal pelvic urethra of male	EMAPA:31552	TS28	TS23
mesenchymal layer of primitive bladder	EMAPA:30876	TS20	TS21	mesenchymal layer of ventral primitive bladder	EMAPA:31525	TS21	TS20
mesenchymal layer of primitive bladder	EMAPA:30876	TS20	TS21	mesenchymal layer of dorsal primitive bladder	EMAPA:31529	TS21	TS20
mesenchymal layer of prostatic urethra	EMAPA:30954	TS28	TS28	submucosa of prostatic urethra	EMAPA:32301	TS28	TS28
