id,name,accession
776,2610305D13Rik,MGI:2148252
777,Supt7l,MGI:1919445
778,Zfp655,MGI:1919861
779,Zfp566,MGI:1919806
780,2810021J22Rik,MGI:1917194
781,Zfp661,MGI:1919430
782,Gtf2f1,MGI:1923848
783,Zfp688,MGI:1916484
784,Zfp788,MGI:1914857
785,Polr3f,MGI:1924086
786,Med31,MGI:1914529
787,Thex1,Thex1
788,Zfp593,MGI:1915290
789,Srek1ip1,MGI:1914538
790,Zmynd8,MGI:1918025
791,3632451O06Rik,MGI:1914669
792,Gpkow,MGI:1859610
793,Zfp14,MGI:99160
794,Zfp712,MGI:1925501
795,Lrrc63,MGI:1918109
796,Sept10,MGI:1918110
797,Ankrd61,MGI:1913979
798,4930430A15Rik,MGI:1914825
799,Zfp672,MGI:2442105
800,Ankrd7,MGI:1922446
801,Zfp157,MGI:1919404
802,Polr2d,MGI:1916491
803,Zfp715,MGI:1917180
804,Zfp687,MGI:1925516
805,4931423N10Rik,MGI:1918231
806,Phf14,MGI:1923539
807,4932411N23Rik,MGI:3045322
808,Ankar,MGI:2442559
809,Zfp819,MGI:1921650
810,Mael,MGI:2138453
811,Zfp689,MGI:1918381
812,Ankrd42,MGI:1921095
813,Batf2,MGI:1921731
814,Mamstr,MGI:1921740
815,Zfp954,MGI:1917764
816,Ubr7,MGI:1913872
817,Ecd,MGI:1917851
818,Ankrd56,MGI:1925338
819,Tox4,MGI:1915389
820,Prss35,MGI:2444800
821,Zfp799,MGI:2443934
822,Glyctk,MGI:2444085
823,Zfp944,MGI:2442394
824,Ankrd34b,MGI:2443245
825,Zfp691,MGI:3041163
826,Zfp770,MGI:2445100
827,6720451E15Rik,6720451E15Rik
828,6720456H20Rik,MGI:2443219
829,Rhox2a,MGI:1922449
830,Ankrd53,MGI:1922555
831,Toe1,MGI:1915526
832,Wwp1,MGI:1861728
833,Zfp764,MGI:2443580
834,Zfp871,MGI:1921793
835,Isx,MGI:1918847
836,9130019O22Rik,MGI:1926171
837,Batf3,MGI:1925491
838,Zkscan1,MGI:1921820
839,Ehmt1,MGI:1924933
840,Nkrf,MGI:1924536
841,Zkscan2,MGI:2444060
842,9430076C15Rik,MGI:2443551
843,Zfp449,MGI:1925869
844,Papolg,MGI:2442119
845,Zfp879,MGI:3053099
846,Zbtb41,MGI:2444487
847,Zfp641,MGI:2442788
848,Zfp418,MGI:2444763
849,Zfp446,MGI:2442185
850,Hmgxb3,MGI:2441817
851,Cobra1,MGI:1931035
852,Zfp786,MGI:3026883
853,Phf21b,MGI:2443812
854,Hif1an,MGI:2442345
855,Bhlha9,MGI:2444198
856,Zfp677,MGI:3053207
857,Zfp934,MGI:1924367
858,Zfp160,MGI:108187
859,Zbtb39,MGI:2443316
860,Zbtb7c,MGI:2443302
861,Zfp420,MGI:2444666
862,Zmat1,MGI:2442284
863,Bcorl1,MGI:2443910
864,B930041F14Rik,MGI:2444790
865,Ankrd55,MGI:1924568
866,Zfp775,MGI:2683557
867,Atf7ip,MGI:1858965
868,Lbxcor1,Lbxcor1
869,Kidins220,MGI:1924730
870,Cphx,MGI:2145733
871,Zfp874a,MGI:3040703
872,Foxj3,MGI:2443432
873,Ankrd54,MGI:2444209
874,D030011N01Rik,D030011N01Rik
875,Zfp473,MGI:2442697
876,Pou6f2,MGI:2443631
877,Zfp317,MGI:107775
878,Zfp866,MGI:3584369
879,Zfp324,MGI:2444641
880,Fam171b,MGI:2444579
881,Zfp300,MGI:3045326
882,Ammecr1l,MGI:2442711
883,Hmbox1,MGI:2445066
884,Sh3pxd2b,MGI:2442062
885,Zbtb38,MGI:2442866
886,Ankrd33,MGI:2443398
887,Foxi2,MGI:3028075
888,Abt1,MGI:1353636
889,Abtb1,MGI:1933148
890,Acyp2,MGI:1922822
891,Aebp1,MGI:1197012
892,Ahr,MGI:105043
893,Ahrr,MGI:1333776
894,Ppp1r12b,MGI:1916417
