emage_id,type,probe_id,source_id,specimen_id,stage_id
708,in situ,MGI:1195649,2,17,155
709,in situ,MGI:1931493,2,17,711
710,in situ,MGI:1309772,2,94,165
711,in situ,MGI:1934247,2,54,155
712,in situ,MGI:2676164,2,17,1
713,in situ,MGI:2149805,2,1,155
714,in situ,MGI:28469,2,1,155
715,in situ,MGI:1330075,2,17,155
716,in situ,MGI:1349366,2,1,155
717,in situ,MGI:1276340,2,17,1
718,in situ,MGI:1330078,2,17,155
719,in situ,MGI:1355230,2,154,165
720,in situ,MGI:23359,2,5,24596
721,in situ,MGI:23359,2,2,8325
722,in situ,MGI:23359,2,17,1
723,in situ,MGI:23359,1,155,155
724,in situ,MGI:1277654,1,1,467
725,in situ,MGI:1335234,2,66,24617
726,in situ,MGI:1335317,1,1,1056
727,in situ,MGI:23359,2,1,155
728,in situ,MGI:2152051,2,17,165
729,in situ,MGI:23359,2,1,165
730,in situ,MGI:23359,2,156,1
731,in situ,MGI:23359,2,157,155
732,in situ,MGI:1313359,2,17,165
733,in situ,MGI:27480,2,17,165
734,in situ,MGI:1261541,2,17,15156
735,in situ,MGI:1261541,2,17,236
736,in situ,MGI:1861714,2,1,3
